Code,Show Name,Location,Scene
/title/tt0112111/,The Outer Limits,"Victoria, British Columbia, Canada",
/title/tt0472181/,The Smurfs,"Times Square, Manhattan, New York City, New York, USA",
/title/tt0472181/,The Smurfs,"New York City, New York, USA",
/title/tt0472181/,The Smurfs,"Queens, New York City, New York, USA",
/title/tt0472181/,The Smurfs,"New York, USA",
/title/tt1187064/,Triangle,"Gold Coast, Queensland, Australia",
/title/tt1187064/,Triangle,"Brisbane, Queensland, Australia",
/title/tt1187064/,Triangle,"Village Roadshow Studios, Oxenford, Queensland, Australia",
/title/tt6807662/,The New Legends of Monkey,"Kumeu Film Studios, 116 Access Rd, Kumeu 0891, New Zealand",
/title/tt0029583/,Sneeuwwitje en de zeven dwergen,"Walt Disney Feature Animation - 500 S. Buena Vista Street, Burbank, California, USA",(Walt Disney Productions)                        
/title/tt0406375/,Zathura: A Space Adventure,"South Pasadena, California, USA",
/title/tt0406375/,Zathura: A Space Adventure,"Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",(studio)                        
/title/tt8050756/,The Owl House,Paris France,(location)                        
/title/tt0097428/,Ghostbusters II,"Fire Station 23 - 225 E. 5th Street, Los Angeles, California, USA",(interiors: Ghostbusters headquarters)                        
/title/tt0097428/,Ghostbusters II,"Greystone Park & Mansion - 905 Loma Vista Drive, Beverly Hills, California, USA",
/title/tt0097428/,Ghostbusters II,"Val's Restaurant, 10130 Riverside Drive, Toluca Lake, California, USA",(restaurant where Dana and Peter have dinner)                        
/title/tt0097428/,Ghostbusters II,"Stage 15, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        
/title/tt0097428/,Ghostbusters II,"Stage 16, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        
/title/tt0374536/,Bewitched,"Book Soup - 8818 W. Sunset Blvd., West Hollywood, California, USA",
/title/tt0374536/,Bewitched,"510 S Lucerne Blvd., Los Angeles, California, USA",
/title/tt0374536/,Bewitched,"Beverly Hills, California, USA",
/title/tt0374536/,Bewitched,"Pann's Restaurant, Los Angeles, California, USA",(interiors)                        
/title/tt0374536/,Bewitched,"Torrance, California, USA",
/title/tt12546328/,Crash Bandicoot 4: It's About Time,"Chicago Illinois, USA",(beach scenes)                        
/title/tt3289724/,Welcome to Marwen,"Maple Ridge, British Columbia, Canada",
/title/tt3289724/,Welcome to Marwen,"Vancouver, British Columbia, Canada",
/title/tt3289724/,Welcome to Marwen,"Riverview Hospital, Coquitlam, British Columbia, Canada",
/title/tt9010360/,The Legend of the Five,Australia,(on location)                        
/title/tt1528406/,Fairy Tail: Fearî teiru,"Tokyo, Japan",
/title/tt6468680/,Marvel's Avengers,"San Francisco, California, USA",
/title/tt0111987/,Goosebumps,"Ontario, Canada",
/title/tt0111987/,Goosebumps,"Toronto, Ontario, Canada",
/title/tt1731141/,Ender's Game,"Duffey Lake, British Columbia, Canada",(Lake scenery)                        
/title/tt1731141/,Ender's Game,"New Orleans, Louisiana, USA",
/title/tt0412175/,Medium,"10010 Yolanda Ave, Northridge, California, USA",(Dubois' house exterior)                        
/title/tt0412175/,Medium,"Santa Clarita Studios - 25135 Anza Drive, Santa Clarita, California, USA",
/title/tt0059978/,Dark Shadows,"Seaview Terrace, Newport, Rhode Island, USA",
/title/tt0059978/,Dark Shadows,"Newport, Rhode Island, USA",
/title/tt0059978/,Dark Shadows,USA,
/title/tt1139797/,Låt den rätte komma in,"Örnäset, Luleå, Norrbottens län, Sweden",(the apartments)                        
/title/tt1139797/,Låt den rätte komma in,"Boden, Norrbottens län, Sweden",
/title/tt0816520/,Return to Halloweentown,"Salt Lake City, Utah, USA",
/title/tt0816520/,Return to Halloweentown,"Provo, Utah, USA",
/title/tt0107362/,Last Action Hero,"28824 Cliffside Dr., Malibu, California, USA",(Tony Vivaldi's house)                        
/title/tt0107362/,Last Action Hero,"Orpheum Theater - 842 South Broadway, Downtown, Los Angeles, California, USA",(interiors: Pandora Theater)                        
/title/tt0107362/,Last Action Hero,"Queen Mary Dome - 1126 Queens Highway, Long Beach, California, USA",
/title/tt0107362/,Last Action Hero,"1st Street Bridge, Los Angeles, California, USA",(car goes off bridge)                        
/title/tt0107362/,Last Action Hero,"Hyatt Regency Hotel - 200 South Pine Avenue, Long Beach, California, USA",
/title/tt0107362/,Last Action Hero,"Manhattan, New York City, New York, USA",
/title/tt0107362/,Last Action Hero,"Malibu Colony Plaza - 23841 West Malibu Road, Malibu, California, USA",(video store)                        
/title/tt0107362/,Last Action Hero,"San Diego, California, USA",
/title/tt0107362/,Last Action Hero,"Empire State Building - 350 Fifth Avenue, Manhattan, New York City, New York, USA",(Danny and Jack have a scene on the observation deck)                        
/title/tt0107362/,Last Action Hero,"Los Angeles, California, USA",
/title/tt0107362/,Last Action Hero,"New York City, New York, USA",
/title/tt0107362/,Last Action Hero,"Studio City, Los Angeles, California, USA",(studio)                        
/title/tt0230030/,Bedazzled,"Olympic Auditorium - 1801 S. Grand Avenue, Downtown, Los Angeles, California, USA",
/title/tt0230030/,Bedazzled,"Santa Barbara, California, USA",
/title/tt0230030/,Bedazzled,"City Hall - 1 Dr. Carlton B. Goodlett Place, San Francisco, California, USA",
/title/tt0230030/,Bedazzled,"Los Angeles County Arboretum & Botanic Garden - 301 N. Baldwin Avenue, Arcadia, California, USA",
/title/tt0230030/,Bedazzled,"Stage 16, 20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",(studio)                        
/title/tt0230030/,Bedazzled,"War Memorial Veterans Building, San Francisco War Memorial & Performing Arts Center - 401 Van Ness Avenue, Civic Center, San Francisco, California, USA",
/title/tt0089908/,Return to Oz,"Salisbury Plain, Wiltshire, England, UK",(Kansas scenes)                        
/title/tt0089908/,Return to Oz,"Whippendell Woods, Watford, Hertfordshire, England, UK",
/title/tt0089908/,Return to Oz,"England, UK",
/title/tt2709692/,The Grinch,"Illumination Entertainment - 1805 Colorado Avenue, Santa Monica, California, USA",
/title/tt0118617/,Anastasia,"Fox Animation Studios - 2747 E. Camelback Road, Phoenix, Arizona, USA",(studio)                        
/title/tt0190332/,Wo hu cang long,"Huangshan region, Anhui Province, China",
/title/tt0190332/,Wo hu cang long,"Anhui Province, China",
/title/tt0190332/,Wo hu cang long,"Chengde, Hubei, China",
/title/tt0190332/,Wo hu cang long,"Cangyanshan, Hebei, China",
/title/tt1228987/,Let Me In,"Moana Condominiums - 1100 Alvarado Drive SE, Albuquerque, New Mexico, USA",(apartment building)                        
/title/tt1228987/,Let Me In,"New Mexico, USA",
/title/tt1228987/,Let Me In,"Menaul School, Albuquerque, New Mexico, USA",
/title/tt0097351/,Field of Dreams,"Dyersville, Iowa, USA",(baseball field)                        
/title/tt0097351/,Field of Dreams,"Western Dubuque Elementary/Jr. High School, Farley, Iowa, USA",(PTA meeting)                        
/title/tt0097351/,Field of Dreams,"Dubuque, Iowa, USA",
/title/tt0097351/,Field of Dreams,"Boston, Massachusetts, USA",
/title/tt0097351/,Field of Dreams,"Iowa, USA",
/title/tt0093629/,A Nightmare on Elm Street 3: Dream Warriors,"UCLA, Westwood, Los Angeles, California, USA",(as psychiatric hospital)                        
/title/tt0331632/,Scooby Doo 2: De losgeslagen monsters,"Britannia Beach, British Columbia, Canada",
/title/tt0331632/,Scooby Doo 2: De losgeslagen monsters,"Winnipeg, Manitoba, Canada",
/title/tt0331632/,Scooby Doo 2: De losgeslagen monsters,"Chinatown, Vancouver, British Columbia, Canada",
/title/tt0331632/,Scooby Doo 2: De losgeslagen monsters,"Vancouver Art Gallery, 750 Hornby Street, Vancouver, British Columbia, Canada",
/title/tt0331632/,Scooby Doo 2: De losgeslagen monsters,"Vancouver, British Columbia, Canada",
/title/tt0331632/,Scooby Doo 2: De losgeslagen monsters,"Britannia Mine Museum, 1 Forbes Way, Britannia Beach, BC V0N 1J0, Canada",(Location)                        
/title/tt3810192/,Cyberpunk 2077,"Los Angeles, California, USA",(location)                        
/title/tt3810192/,Cyberpunk 2077,"Chicago Illinois, USA",(Battle scenes)                        
/title/tt0938330/,Silent Hill: Revelation,"Galt District, Cambridge, Ontario, Canada",(bridge scenes)                        
/title/tt0938330/,Silent Hill: Revelation,"Cambridge, Ontario, Canada",(streets of Silent Hill)                        
/title/tt0938330/,Silent Hill: Revelation,"Cherry Beach, Toronto, Ontario, Canada",(as Lakeside Amusement Park)                        
/title/tt0938330/,Silent Hill: Revelation,"Toronto, Ontario, Canada",
/title/tt0938330/,Silent Hill: Revelation,"Woodbine Centre, Etobicoke, Toronto, Ontario, Canada",(shopping mall)                        
/title/tt0938330/,Silent Hill: Revelation,Canada,
/title/tt5220122/,Hotel Transylvania 3: Summer Vacation,"New York City, New York, USA",
/title/tt0499448/,The Chronicles of Narnia: Prince Caspian,"Bovec, Slovenia",(bridge scene)                        
/title/tt0499448/,The Chronicles of Narnia: Prince Caspian,"Cathedral Cove, Hahei, Coromandel, New Zealand",
/title/tt0499448/,The Chronicles of Narnia: Prince Caspian,"Dart River, Glenorchy, Otago, New Zealand",
/title/tt0499448/,The Chronicles of Narnia: Prince Caspian,"Lake Moeraki, West Coast, New Zealand",
/title/tt0499448/,The Chronicles of Narnia: Prince Caspian,"Moeraki Quarry, Lake Moeraki, West Coast, New Zealand",
/title/tt0499448/,The Chronicles of Narnia: Prince Caspian,"Henderson Valley Studios, Hickory Avenue, Henderson, Auckland, New Zealand",(studio)                        
/title/tt0499448/,The Chronicles of Narnia: Prince Caspian,New Zealand,
/title/tt1964418/,Project T,"City of Arts and Sciences, Valencia, Comunidad Valenciana, Spain",(Tomorrowland exteriors and interiors)                        
/title/tt1964418/,Project T,"Disneyland Park, Disneyland Resort - 1600 S. Disneyland Drive, Anaheim, California, USA",(It's a Small World)                        
/title/tt1964418/,Project T,"Launch Complex 39A, Kennedy Space Center, Titusville, Florida, USA",(Launch Pad)                        
/title/tt1964418/,Project T,"New Smyrna Beach, Florida, USA",(US-1)                        
/title/tt1964418/,Project T,"Altamonte Springs, Florida, USA",(Casey Newton's home in Altamonte Springs and a driving sequence that was filmed on 436 and Uptown Altamonte)                        
/title/tt1964418/,Project T,"Titusville, Florida, USA",(Hopkins Ave. & Country Club Blvd. and Space Memorial Park)                        
/title/tt1964418/,Project T,"Eleuthera Island, Bahamas",(Beach scene)                        
/title/tt1964418/,Project T,"HR MacMillan Space Centre - 1100 Chestnut St, Vancouver, British Columbia, Canada",(1964-1965 New York World's Fair)                        
/title/tt8101850/,Undone,"Chicago Illinois, USA",
/title/tt1488589/,Pinocchio,"Portland, Oregon, USA",
/title/tt0287839/,Children of Dune,"Barrandov Studios, Prague, Czech Republic",
/title/tt0312528/,The Cat in the Hat,"Art District, Pomona, California, USA",
/title/tt0312528/,The Cat in the Hat,"Simi Valley, California, USA",
/title/tt0312528/,The Cat in the Hat,"Courthouse Square, Backlot, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",
/title/tt0312528/,The Cat in the Hat,"Stage 28, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",
/title/tt0312528/,The Cat in the Hat,"Stage 31, Universal Studios - 100 Universal City Plaza, Universal City, California, USA",
/title/tt6908274/,Durante la tormenta,"Gran Canaria, Canary Islands, Spain",
/title/tt6908274/,Durante la tormenta,"L'Ametlla del Vallés, Barcelona",
/title/tt0210070/,Ginger Snaps,"Brampton, Ontario, Canada",
/title/tt0210070/,Ginger Snaps,"Toronto, Ontario, Canada",
/title/tt0460791/,The Fall,Turkey,
/title/tt0460791/,The Fall,"Bali, Indonesia",
/title/tt0460791/,The Fall,"Jodhpur, Rajasthan, India",(blue city)                        
/title/tt0460791/,The Fall,"Mehrangarh Fort, Jodhpur, Rajasthan, India",
/title/tt0460791/,The Fall,"Hagia Sophia, Istanbul, Turkey",
/title/tt0460791/,The Fall,"Sumatra, Indonesia",
/title/tt0460791/,The Fall,Argentina,
/title/tt0460791/,The Fall,"Valkenberg Hospital, Cape Town, Western Cape, South Africa",(hospital scenes)                        
/title/tt0460791/,The Fall,"Taj Lake Palace, Lake Pichola, Udaipur, Rajasthan, India",(Palace in the lake)                        
/title/tt0460791/,The Fall,"Agra, Uttar Pradesh, India",
/title/tt0460791/,The Fall,"Chennai, Tamil Nadu, India",
/title/tt0460791/,The Fall,"Namib-Naukluft National Park, Erongo, Namibia",(desert scenes)                        
/title/tt0460791/,The Fall,"Chand Baori, Abhaneri, Rajasthan, India",(Stepwell scene)                        
/title/tt0460791/,The Fall,"Prague, Czech Republic",
/title/tt0460791/,The Fall,Brazil,
/title/tt0460791/,The Fall,Italy,
/title/tt0460791/,The Fall,"Paris, France",
/title/tt0460791/,The Fall,Spain,
/title/tt0460791/,The Fall,"Jardin Zoologico, Buenos Aires, Federal District, Argentina",
/title/tt0460791/,The Fall,"Pangong Tso, Ladakh, Jammu & Kashmir, India",
/title/tt0460791/,The Fall,"Charles Bridge, Old Town, Prague, Czech Republic",(Blue bandit jumps from bridge)                        
/title/tt0460791/,The Fall,India,
/title/tt0460791/,The Fall,Maldives,
/title/tt0460791/,The Fall,"Sossusvlei, Namib-Naukluft National Park, Erongo, Namibia",
/title/tt0460791/,The Fall,Czech Republic,
/title/tt0460791/,The Fall,"The Colosseum, Rome, Lazio, Italy",
/title/tt0460791/,The Fall,"Buland Darwaza, Fatehpur Sikri, Uttar Pradesh, India",
/title/tt0460791/,The Fall,"Hollywood, Los Angeles, California, USA",
/title/tt0460791/,The Fall,UK,
/title/tt0460791/,The Fall,Namibia,(desert scenes)                        
/title/tt0460791/,The Fall,Bolivia,
/title/tt0460791/,The Fall,USA,
/title/tt0460791/,The Fall,France,
/title/tt0460791/,The Fall,"Teatro Opera, Buenos Aires, Federal District, Argentina",
/title/tt0460791/,The Fall,"Tomb of Akbar the Great, Sikandra, Agra, Uttar Pradesh, India",
/title/tt0460791/,The Fall,"Consuegra, Toledo, Castilla-La Mancha, Spain",(Riding horses in windmills scene)                        
/title/tt0460791/,The Fall,"Jailsalmer Fort, Jaisalmer, Rajasthan, India",
/title/tt0460791/,The Fall,"Red Fort, New Delhi, Delhi, India",
/title/tt0851851/,Terminator: The Sarah Connor Chronicles,"Albuquerque, New Mexico, USA",
