,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0472181/,,"Kaufman Astoria Studios - 3412 36th Street, Astoria, Queens, New York City, New York, USA",,,,
1,/title/tt0472181/,,"Astoria, Queens, New York City, New York, USA",,"Astoria, Queens County, New York, 11102, United States of America",40.7720145,-73.9302673
2,/title/tt0472181/,,"Manhattan, New York City, New York, USA",,"Manhattan, New York County, New York, United States of America",40.7896239,-73.9598939
3,/title/tt0472181/,,USA,,United States,39.7837304,-100.4458825
4,/title/tt1187064/,,"Southport Spit, Southport, Queensland, Australia",(ocean-liner set),,,
5,/title/tt1187064/,,"Queensland Maritime Museum, South Bank, Brisbane, Queensland, Australia",,"HMAS Diamantina, Goodwill Bridge, South Bank, South Brisbane, Brisbane City, Queensland, 4101, Australia",-27.48186535,153.0265800270652
6,/title/tt1187064/,,"Sydney, New South Wales, Australia",,"Sydney, New South Wales, Australia",-33.8548157,151.2164539
7,/title/tt6807662/,,"Kumeu Film Studios - 116 Access Road, Kumeu, Auckland, New Zealand",(studio),,,
8,/title/tt0406375/,,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
9,/title/tt0406375/,,"Stage 30, Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",(Budwing house; interior),,,
10,/title/tt8050756/,,"Chicago Illinois, USA",(street scenes),"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
11,/title/tt0097428/,,"U.S. Customs House, New York City, New York, USA",(Manhattan Museum of Art),,,
12,/title/tt0097428/,,"Hook & Ladder Company #8 - 14 North Moore Street, Manhattan, New York City, New York, USA",(Ghostbusters headquarters exteriors),,,
13,/title/tt0097428/,,"Columbia University - Broadway & 116th Street, Manhattan, New York City, New York, USA",(Department of Parapsychology/Weaver Hall),,,
14,/title/tt0097428/,,"Washington Square Park, Greenwich Village, Manhattan, New York City, New York, USA",(Square Park),,,
15,/title/tt0374536/,,"Sony Pictures Studios - 10202 W. Washington Blvd., Culver City, California, USA",(studio),,,
16,/title/tt0374536/,,"4427 Radford Ave, Los Angeles, California, USA",,"4427, Radford Avenue, Studio City, Valley Village, Los Angeles, Los Angeles County, California, 91607, United States of America",34.15090473469388,-118.39219406122449
17,/title/tt0374536/,,"Culver Studios - 9336 W. Washington Blvd., Culver City, California, USA",,,,
18,/title/tt0374536/,,"Studio City, Los Angeles, California, USA",,"Studio City, Los Angeles, Los Angeles County, California, 91604, United States of America",34.1483989,-118.3961877
