,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt9170108/,Raised by Wolves,"Film Afrika Studios, Cape Town, South Africa",,,,
1,/title/tt4052886/,Lucifer,"Vancouver, British Columbia, Canada",(Season 1 & 2)                        ,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139529
2,/title/tt4052886/,Lucifer,"Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        ,,,
3,/title/tt0805647/,The Witches,"Surrey, England, UK",,"Surrey, Mickleham, Mole Valley, Surrey, South East, England, United Kingdom",51.2715316,-0.3414523511290909
4,/title/tt4685762/,The Craft: Legacy,"Toronto, Ontario, Canada",,"Toronto, Peel, Golden Horseshoe, Ontario, Canada",43.6534817,-79.3839347
5,/title/tt6905686/,Lovecraft Country,"Illinois, USA",,"Illinois, United States of America",40.0796606,-89.4337288
6,/title/tt6905686/,Lovecraft Country,"Cinespace Film Studios, Chicago, Illinois, USA",(studio)                        ,,,
7,/title/tt6905686/,Lovecraft Country,"Blackhall Studios, Atlanta, Georgia, USA",,,,
8,/title/tt0944947/,Game of Thrones,"Split, Split-Dalmatia County, Croatia",,"Split, Grad Split, Splitsko-dalmatinska županija, Hrvatska",43.5116383,16.4399659
9,/title/tt0944947/,Game of Thrones,"Dubrovnik, Croatia",,"Dubrovnik, Grad Dubrovnik, Dubrovačko-neretvanska županija, 20000, Hrvatska",42.6502473,18.0924947
10,/title/tt0944947/,Game of Thrones,"Ouarzazate, Morocco",,"Ouarzazate ⵡⴰⵔⵣⴰⵣⴰⵜ ورزازات, Pachalik d'Ouarzazate, Province de Ouarzazate ⵍⵉⵇⵍⵉⵎ ⵏ ⵡⴰⵔⵣⴰⵣⴰⵜ إقليم ورززات, Drâa-Tafilalet ⴷⴰⵔⵄⴰ-ⵜⴰⴼⵉⵍⴰⵍⵜ درعة تافيلالت, 45005, Maroc",30.920193,-6.910923
11,/title/tt0944947/,Game of Thrones,"Harland and Wolff Paint Hall, Titanic-Quarter, Belfast, County Antrim, Northern Ireland, UK",,,,
12,/title/tt0944947/,Game of Thrones,"Valletta, Malta",,"Valletta, Xlokk, Malta",35.8989818,14.5136759
13,/title/tt0944947/,Game of Thrones,"Klis Fortress, Klis, Croatia",,"Tvrđava Klis, Klis Castle parking, Galići, Klis, Općina Klis, Splitsko-dalmatinska županija, Hrvatska",43.5600337,16.52432709155028
14,/title/tt0944947/,Game of Thrones,"Seville, Andalucia, Spain",,"Sevilla, Andalucía, España",37.3886303,-5.9953403
