,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0082685/,Lovely But Deadly,"Ulysses S. Grant High School - 13000 Oxnard St, Van Nuys, California, USA",,,,
1,/title/tt0049287/,Gunslinger,"Iverson Ranch - 1 Iverson Lane, Chatsworth, Los Angeles, California, USA",,,,
2,/title/tt10983006/,Terminator: Resistance,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
3,/title/tt10983006/,Terminator: Resistance,"Chicago Illinois, USA",,"Chicago, Cook County, Illinois, United States of America",41.8755616,-87.6244212
4,/title/tt1637713/,Roadkill,"Wicklow, Ireland",(The rural location for all the outdoor action)                        ,"County Wicklow, Leinster, Ireland",52.95814675,-6.381970708677661
5,/title/tt0075152/,Roma a mano armata,"Rome, Lazio, Italy",,"Roma Capitale, Lazio, Italia",41.85223935,12.631036615953583
6,/title/tt0048535/,Rage at Dawn,"Honey Run Covered Bridge, Chico, California, USA",(Opening & closing Credits})                        ,"Honey Run Covered Bridge, Butte County, California, United States of America",39.7286166,-121.703901
7,/title/tt0048535/,Rage at Dawn,"Arizona, USA",,"Arizona, United States of America",34.395342,-111.7632755
8,/title/tt0048535/,Rage at Dawn,"Sierra Railroad, Jamestown, California, USA",(Robbery)                        ,"Grand Sierra Railroad, Snoopy Way, Buena Park, Orange County, California, 90620, United States of America",33.84524285,-117.99858943573369
9,/title/tt0048535/,Rage at Dawn,"Columbia State Historic Park, 11255 Jackson Street, Columbia, California, USA",,,,
10,/title/tt9485592/,Girl Blood Sport,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
11,/title/tt9485592/,Girl Blood Sport,"Beverly Hills, California, USA",,"Beverly Hills, Los Angeles County, California, United States of America",34.0696501,-118.3963062
12,/title/tt9485592/,Girl Blood Sport,"North Shore, Hawaii, USA",,,,
13,/title/tt9485592/,Girl Blood Sport,"Niagara Falls, Canada",,"Niagara Falls, Niagara Region, Golden Horseshoe, Ontario, Canada",43.100983,-79.115295
14,/title/tt9485592/,Girl Blood Sport,"Columbus, Ohio, USA",,"Columbus, Franklin County, Ohio, United States of America",39.9622601,-83.0007065
15,/title/tt9485592/,Girl Blood Sport,"Roswell, New Mexico, USA",,"Roswell, Chaves County, New Mexico, United States of America",33.3943282,-104.5229518
16,/title/tt1691453/,Knockout,"White Rock, British Columbia, Canada",,"White Rock, Metro Vancouver Regional District, British Columbia, Canada",49.0235357,-122.7979246
17,/title/tt1691453/,Knockout,"Tacoma, Washington, USA",,"Tacoma, Pierce County, Washington, United States of America",47.2495798,-122.4398746
18,/title/tt2497808/,Ambushed,"Central City Studio, Los Angeles, California, USA",,,,
19,/title/tt0109138/,Another Midnight Run,"2nd Street Tunnel between Hill and Figueroa, Los Angeles, California, USA",,,,
20,/title/tt0109138/,Another Midnight Run,"Sperry, Oklahoma, USA",,"Sperry, Tulsa County, Oklahoma, United States of America",36.2921,-95.96902871994789
21,/title/tt0099460/,Downtown,"Philadelphia, Pennsylvania, USA",,"Philadelphia, Philadelphia County, Pennsylvania, United States of America",39.9527237,-75.1635262
