,Code,Show Name,Location,Scene,geocodedLocation,latitude,longitude
0,/title/tt0944947/,Game of Thrones,"Split, Split-Dalmatia County, Croatia",,"Split, Grad Split, Splitsko-dalmatinska županija, Hrvatska",43.5116383,16.4399659
1,/title/tt0944947/,Game of Thrones,"Dubrovnik, Croatia",,"Dubrovnik, Grad Dubrovnik, Dubrovačko-neretvanska županija, 20000, Hrvatska",42.6502473,18.0924947
2,/title/tt0944947/,Game of Thrones,"Ouarzazate, Morocco",,"Ouarzazate ⵡⴰⵔⵣⴰⵣⴰⵜ ورزازات, Pachalik d'Ouarzazate, Province de Ouarzazate ⵍⵉⵇⵍⵉⵎ ⵏ ⵡⴰⵔⵣⴰⵣⴰⵜ إقليم ورززات, Drâa-Tafilalet ⴷⴰⵔⵄⴰ-ⵜⴰⴼⵉⵍⴰⵍⵜ درعة تافيلالت, 45005, Maroc",30.920193,-6.910923
3,/title/tt0944947/,Game of Thrones,"Harland and Wolff Paint Hall, Titanic-Quarter, Belfast, County Antrim, Northern Ireland, UK",,,,
4,/title/tt0944947/,Game of Thrones,"Valletta, Malta",,"Valletta, Xlokk, Malta",35.8989818,14.5136759
5,/title/tt0944947/,Game of Thrones,"Klis Fortress, Klis, Croatia",,"Tvrđava Klis, Klis Castle parking, Galići, Klis, Općina Klis, Splitsko-dalmatinska županija, Hrvatska",43.5600337,16.52432709155028
6,/title/tt0944947/,Game of Thrones,"Seville, Andalucia, Spain",,"Sevilla, Andalucía, España",37.3886303,-5.9953403
7,/title/tt0944947/,Game of Thrones,"Real Alcázar, Seville, Andalucia, Spain",(Water Gardens of Dorne)                        ,"real alcazar, Patio de Banderas, Santa Cruz, Casco Antiguo, Sevilla, Andalucía, 41004, España",37.3840154,-5.9911316
8,/title/tt0944947/,Game of Thrones,"Doune Castle, Doune, Stirling, Scotland, UK",,"Doune Castle, Castle Hill Court, Buchany, Doune, Stirling, Scotland, FK16 6BT, United Kingdom",56.18509345,-4.050469490870636
9,/title/tt0944947/,Game of Thrones,"Ballymoney, County Antrim, Northern Ireland, UK",,"Ballymoney, County Antrim, Northern Ireland, BT53 6AN, United Kingdom",55.070242,-6.516895
10,/title/tt0944947/,Game of Thrones,"Belfast, County Antrim, Northern Ireland, UK",,"Belfast, County Antrim, Northern Ireland, BT1 5GS, United Kingdom",54.5964411,-5.9302761
11,/title/tt0944947/,Game of Thrones,"Carncastle, County Antrim, Northern Ireland, UK",,"Carncastle, County Antrim, Northern Ireland, BT40 2RL, United Kingdom",54.8961522,-5.8818158
12,/title/tt0944947/,Game of Thrones,"Ramparts, Essaouira, Morocco",(ramparts of Astapor)                        ,,,
13,/title/tt0944947/,Game of Thrones,"El Chorrillo, Pechina, Almeria, Andalucia, Spain",(Vaes Dothrak)                        ,,,
14,/title/tt0944947/,Game of Thrones,"Svínafellsjökull Glacier, Iceland",,"Svínafell, 9886, Sveitarfélagið Hornafjörður, Austurland, Ísland",64.0020674,-16.8660027
15,/title/tt0944947/,Game of Thrones,"Cordoba, Andalucía, Spain",(Long Bridge of Volantis)                        ,"Córdoba, Andalucía, España",37.8845813,-4.7760138
16,/title/tt0944947/,Game of Thrones,"Giant's Causeway, County Antrim, Northern Ireland, UK",,"Giant's Causeway, Causeway Coastal Way, Ardihannon, Bushmills, County Antrim, Northern Ireland, BT57 8SU, United Kingdom",55.24082145,-6.5116386404807
17,/title/tt0944947/,Game of Thrones,"Canet de Mar, Barcelona, Catalonia, Spain",(location)                        ,"Canet de Mar, N-II, Canet de Mar, Maresme, Catalunya, 08360, España",41.586446,2.581146
18,/title/tt0944947/,Game of Thrones,"Barrika, Vizcaya, País Vasco, Spain",(Dragonstone beach exterior scenes)                        ,"Barrika, Bizkaia, Euskadi, España",43.4066267,-2.9609879
19,/title/tt0944947/,Game of Thrones,"Malpartida de Cáceres, Cáceres, Extremadura, Spain",,"Malpartida de Cáceres, Tajo-Salor, Cáceres, Extremadura, 10910, España",39.445575,-6.5058549
20,/title/tt0944947/,Game of Thrones,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
21,/title/tt0944947/,Game of Thrones,"Itálica, Santiponce, Sevilla, Andalucía, Spain",(Dragonpit summit)                        ,"Conjunto Arqueológico de Itálica, 2, Avenida de Extremadura, Santiponce, Sevilla, Andalucía, 41970, España",37.4419234,-6.045392335193511
22,/title/tt0944947/,Game of Thrones,"Almodóvar del Río, Córdoba, Andalucía, Spain",(Interior castle)                        ,"Almodóvar del Río, Córdoba, Andalucía, España",37.8112483,-5.0194742
23,/title/tt0944947/,Game of Thrones,"La Alcazaba, Almería, Almería, Andalucia, Spain","(House Martell, Water gardens of Dorne)                        ","La Alcazaba, Calle Sereno, La Chanca, Almedina, Almería, Andalucía, 04071, España",36.841286,-2.4723476
24,/title/tt0413573/,Grey's Anatomy,"Veterans Hospital - 1611 Plummer Street, North Hills, Los Angeles, California, USA",(as Seattle Grace Hospital)                        ,,,
25,/title/tt0413573/,Grey's Anatomy,"Seattle, Washington, USA",,"Seattle, King County, Washington, United States of America",47.6038321,-122.3300624
26,/title/tt0413573/,Grey's Anatomy,"Fire Station 23 - 225 E. 5th Street, Los Angeles, California, USA",(Cristina and Owen Firehouse)                        ,"Fire Station 23, 225, East 5th Street, Skid Row, Downtown, Los Angeles, Los Angeles County, California, 90013, United States of America",34.0458225,-118.24658608422999
27,/title/tt8962124/,Emily in Paris,"Paris, France",,"Paris, Île-de-France, France métropolitaine, 75004, France",48.8566969,2.3514616
28,/title/tt4955642/,The Good Place,"Universal Studios - 100 Universal City Plaza, Universal City, California, USA",(studio)                        ,,,
29,/title/tt4955642/,The Good Place,"Universal City, California, USA",,"Universal City, Los Angeles County, California, 91608, United States of America",34.1412926,-118.3584364
30,/title/tt4955642/,The Good Place,"California, USA",,"California, United States of America",36.7014631,-118.7559974
31,/title/tt2306299/,Vikings,"Ballyhenry Studios, Ashford, Co Wicklow, Ireland",,,,
32,/title/tt2306299/,Vikings,"Searchmont, Ontario, Canada",,"Searchmont, Unorganized North Algoma, Algoma District, Northeastern Ontario, Ontario, P0S 1J0, Canada",46.7785824,-84.0513848
33,/title/tt2306299/,Vikings,"Ashford studios, Ballyhenry, County Wicklow, Ireland",,"Ashford Studios, Ashford Road, Newtown Boswell, Killiskey, The Municipal District of Wicklow, County Wicklow, Leinster, CO. WICKLOW, Ireland",53.0211141,-6.1055288
34,/title/tt2306299/,Vikings,"Hellesylt, Norway",(Backgrounds)                        ,"Hellesylt, Stranda, Møre og Romsdal, 6218, Norge",62.0858061,6.8668801
35,/title/tt0108778/,Friends,"New York City, New York, USA",,"New York, United States of America",40.7127281,-74.0060152
36,/title/tt0108778/,Friends,"Stage 24, Warner Brothers Burbank Studios - 4000 Warner Boulevard, Burbank, California, USA",(studio)                        ,,,
37,/title/tt0108778/,Friends,"Los Angeles, California, USA",,"Los Angeles, Los Angeles County, California, United States of America",34.0536909,-118.2427666
38,/title/tt0108778/,Friends,"Park Boulevard, Columbia/Warner Bros. Ranch - 411 North Hollywood Way, Burbank, California, USA",,,,
39,/title/tt8787802/,Away,"Vancouver, British Columbia, Canada",,"Vancouver, Metro Vancouver Regional District, British Columbia, Canada",49.2608724,-123.1139529
40,/title/tt8787802/,Away,"6741 224th Street, Langley, British Columbia, Canada",(Episode 6)                        ,,,
41,/title/tt10886166/,365 dni,Italy,,Italia,42.6384261,12.674297
42,/title/tt10886166/,365 dni,"Warsaw, Mazowieckie, Poland",,"Warszawa, województwo mazowieckie, Polska",52.2319581,21.0067249
43,/title/tt1442437/,Modern Family,"Los Angeles County, California, USA",,"Los Angeles County, California, United States of America",34.3155072,-118.2096814
44,/title/tt1442437/,Modern Family,"20th Century Fox Studios - 10201 Pico Blvd., Century City, Los Angeles, California, USA",(studio)                        ,,,
45,/title/tt3006802/,Outlander,"Doune Castle, Doune, Stirling, Scotland, UK",(Castle Leoch)                        ,"Doune Castle, Castle Hill Court, Buchany, Doune, Stirling, Scotland, FK16 6BT, United Kingdom",56.18509345,-4.050469490870636
46,/title/tt3006802/,Outlander,"Blackness Castle, Blackness, Falkirk, West Lothian, Scotland, UK",(Fort William)                        ,,,
47,/title/tt3006802/,Outlander,"Culross, Fife, Scotland, UK",,"Culross, Fife, Scotland, KY12 8HT, United Kingdom",56.0556289,-3.6283248
48,/title/tt3006802/,Outlander,"Scotland, UK",,"Scotland, United Kingdom",56.7861112,-4.1140518
49,/title/tt3006802/,Outlander,"Pollok House, Glasgow, Strathclyde, Scotland, UK",(parkland)                        ,,,
